Objective function_FOE,$SALT1,$SALT2,$YEAR,$F1HS,$F1LS
68.178808,51.0,2.0,1991,0.55,0.55
74.292017,51.0,2.0,1991,1.0,1.0
65.766598,34.0,0.0,1994,0.0625,0.625
71.248296,1.0,1.0,1991,0.125,0.75
63.40939,9.25,25.75,1992,0.0625,0.625
73.039683,2.0,2.0,1991,0.15,0.7
73.309768,2.0,51.0,1991,0.15,0.7
67.926469,2.0,2.0,1991,0.0,0.4
71.550913,2.0,2.0,1991,0.075,0.55
73.309768,2.0,2.0,1991,0.15,0.7
70.656804,25.75,0.0,1993,0.1875,0.875
71.334655,2.0,2.0,1991,0.225,0.85
72.829188,2.0,2.0,1991,0.225,0.85
77.10713200000001,2.0,2.0,1991,0.0,0.4
70.935861,2.0,2.0,1991,0.0,0.4
63.453472,1.0,50.5,1991,,
73.410033,14.25,14.25,1992,0.0,0.4
67.327238,21.625,0.0,1993,0.0625,0.625
68.093967,2.0,2.0,1995,0.55,0.55
70.624566,2.0,2.0,1991,0.075,0.55
72.369257,2.0,51.0,1991,0.775,0.775
71.550599,2.0,2.0,1995,0.075,0.55
69.490097,1.0,1.0,1995,0.0625,0.625
70.624566,2.0,2.0,1991,0.3,1.0
73.309768,2.0,51.0,1991,0.0,0.4
73.309768,2.0,2.0,1991,0.225,0.85
65.521514,51.0,2.0,1991,0.325,0.325
67.213803,25.75,0.0,1993,0.0625,0.625
67.926469,2.0,2.0,1991,0.225,0.85
64.426779,1.0,50.5,1991,0.125,0.75
73.31055,2.0,2.0,1995,0.075,0.55
73.796207,2.0,2.0,1991,1.0,1.0
71.550599,2.0,2.0,1995,0.0,0.4
69.490212,1.0,1.0,1991,0.0625,0.625
63.573971,9.25,25.75,1992,,
71.246338,1.0,1.0,1995,0.125,0.75
73.309768,2.0,2.0,1991,0.3,1.0
64.746669,34.0,0.0,1994,,
67.209288,34.0,0.0,1994,0.125,0.75
73.309768,2.0,51.0,1991,0.225,0.85
79.10999,2.0,2.0,1991,0.15,0.7
73.309768,51.0,2.0,1991,0.15,0.7
67.791223,1.0,1.0,1991,0.0,0.5
72.829188,2.0,2.0,1991,0.15,0.7
71.550913,2.0,2.0,1991,0.15,0.7
67.796972,1.0,1.0,1991,,
71.550913,51.0,2.0,1991,0.0,0.4
72.369257,2.0,51.0,1991,0.775,0.775
65.521514,51.0,2.0,1991,0.325,0.325
65.453742,9.25,25.75,1992,0.25,1.0
73.039683,2.0,2.0,1991,0.075,0.55
73.106917,1.0,1.0,1995,0.1875,0.875
62.817004,9.25,25.75,1992,0.0,0.5
71.550913,51.0,2.0,1991,0.15,0.7
71.550913,51.0,2.0,1991,0.225,0.85
67.79112,1.0,1.0,1995,0.0,0.5
65.479723,1.0,50.5,1991,0.1875,0.875
71.550913,2.0,51.0,1991,0.225,0.85
68.829808,2.0,51.0,1991,0.55,0.55
74.292017,51.0,2.0,1991,1.0,1.0
65.514402,2.0,2.0,1995,0.325,0.325
72.609287,25.75,0.0,1993,0.25,1.0
73.309768,2.0,2.0,1991,0.0,0.4
70.836458,2.0,2.0,1995,0.775,0.775
79.10999,2.0,2.0,1991,0.075,0.55
77.10713200000001,2.0,2.0,1991,0.3,1.0
71.334655,2.0,2.0,1991,0.0,0.4
68.991617,21.625,0.0,1993,0.125,0.75
73.309768,51.0,2.0,1991,0.075,0.55
71.550913,51.0,2.0,1991,0.075,0.55
71.334655,2.0,2.0,1991,0.15,0.7
68.095782,2.0,2.0,1991,0.55,0.55
68.095782,2.0,2.0,1991,0.55,0.55
68.751985,34.0,0.0,1994,0.1875,0.875
64.750771,9.25,25.75,1992,0.1875,0.875
71.550913,2.0,2.0,1991,0.3,1.0
71.550913,2.0,51.0,1991,0.0,0.4
70.840088,2.0,2.0,1991,0.775,0.775
73.410033,14.25,14.25,1992,0.15,0.7
66.187987,2.0,2.0,1991,0.15,0.7
73.039683,2.0,2.0,1991,0.0,0.4
73.31055,2.0,2.0,1995,0.15,0.7
65.015571,13.375,13.375,1992,0.1875,0.875
65.85088,25.75,0.0,1993,,
67.926469,2.0,2.0,1991,0.075,0.55
67.796783,1.0,1.0,1995,,
71.334655,2.0,2.0,1991,0.075,0.55
72.752829,21.625,0.0,1993,0.25,1.0
65.669289,25.75,0.0,1993,0.0,0.5
65.583699,2.0,51.0,1991,0.325,0.325
68.178808,51.0,2.0,1991,0.55,0.55
70.419197,34.0,0.0,1994,0.25,1.0
65.955338,21.625,0.0,1993,,
73.309768,2.0,2.0,1991,0.15,0.7
73.309768,2.0,2.0,1991,0.225,0.85
76.319368,2.0,51.0,1991,1.0,1.0
70.935861,2.0,2.0,1991,0.15,0.7
67.926469,2.0,2.0,1991,0.15,0.7
73.309768,2.0,2.0,1991,0.075,0.55
64.35823,13.375,13.375,1992,,
73.109243,1.0,1.0,1991,0.1875,0.875
72.833805,19.5625,0.0,1993,0.25,1.0
70.624566,2.0,2.0,1991,0.225,0.85
71.550913,2.0,2.0,1991,0.0,0.4
70.063859,50.5,1.0,1991,0.125,0.75
65.516606,2.0,2.0,1991,0.325,0.325
70.935861,2.0,2.0,1991,0.3,1.0
71.550913,2.0,2.0,1991,0.225,0.85
71.550599,2.0,2.0,1995,0.3,1.0
67.926469,2.0,2.0,1991,0.3,1.0
73.796207,2.0,2.0,1991,1.0,1.0
65.407617,13.375,13.375,1992,0.25,1.0
73.31055,2.0,2.0,1995,0.3,1.0
63.904811,13.375,13.375,1992,0.0,0.5
73.410033,14.25,14.25,1992,0.075,0.55
70.864376,19.5625,0.0,1993,0.1875,0.875
70.787519,21.625,0.0,1993,0.1875,0.875
73.309768,2.0,2.0,1991,0.0,0.4
63.48407,1.0,50.5,1991,0.0625,0.625
69.066588,19.5625,0.0,1993,0.125,0.75
77.10713200000001,2.0,2.0,1991,0.225,0.85
79.10999,2.0,2.0,1991,0.225,0.85
68.871476,25.75,0.0,1993,0.125,0.75
70.935861,2.0,2.0,1991,0.075,0.55
71.334655,2.0,2.0,1991,0.3,1.0
66.909514,50.5,1.0,1991,,
64.631136,13.375,13.375,1992,0.125,0.75
71.550599,2.0,2.0,1995,0.225,0.85
79.10999,2.0,2.0,1991,0.3,1.0
70.624566,2.0,2.0,1991,0.0,0.4
73.31055,2.0,2.0,1995,0.0,0.4
73.309768,2.0,51.0,1991,0.075,0.55
72.829188,2.0,2.0,1991,0.3,1.0
73.793624,2.0,2.0,1995,1.0,1.0
70.840088,2.0,2.0,1991,0.775,0.775
66.187987,2.0,2.0,1991,0.3,1.0
73.410033,14.25,14.25,1992,0.3,1.0
62.482218,1.0,50.5,1991,0.0,0.5
76.319368,2.0,51.0,1991,1.0,1.0
73.31055,2.0,2.0,1995,0.225,0.85
75.068345,1.0,1.0,1991,0.25,1.0
73.309768,2.0,2.0,1991,0.3,1.0
73.410033,14.25,14.25,1992,0.225,0.85
73.309768,2.0,51.0,1991,0.3,1.0
